episode,timestep,reward
1,450,96.0996
3,900,88.6026
6,1800,87.9978
8,2250,91.7606
9,2700,84.3092
11,3150,82.0253
13,3600,88.3221
14,4050,87.5424
16,4500,82.6526
19,5400,94.3248
21,5850,98.7926
24,6750,93.5873
26,7200,85.7523
27,7650,97.9331
29,8100,89.5152
31,8550,88.8552
32,9000,92.2789
34,9450,94.1726
37,10350,96.126
39,10800,96.8384
42,11700,95.1313
44,12150,104.1729
45,12600,95.8129
47,13050,98.1392
49,13500,96.9265
50,13950,94.2452
52,14400,95.5048
55,15300,96.3843
57,15750,95.7695
60,16650,95.7991
62,17100,92.6491
63,17550,92.9147
65,18000,101.6161
67,18450,109.4745
68,18900,97.3623
70,19350,96.8185
73,20250,102.0347
75,20700,93.0014
78,21600,97.4587
80,22050,103.4886
81,22500,110.6858
83,22950,109.3901
85,23400,109.7957
86,23850,108.1772
88,24300,105.1665
91,25200,106.0516
93,25650,107.2579
96,26550,114.1694
98,27000,110.7711
99,27450,109.9045
101,27900,112.7255
103,28350,121.4382
104,28800,112.6109
106,29250,106.5729
109,30150,106.8681
111,30600,112.5397
114,31500,116.3018
116,31950,117.1838
117,32400,124.2486
119,32850,113.9176
121,33300,110.3671
122,33750,115.9133
124,34200,119.0119
127,35100,106.2277
129,35550,126.0144
132,36450,117.9718
134,36900,114.5691
135,37350,111.4407
137,37800,108.1412
139,38250,121.2178
140,38700,120.7253
142,39150,102.9512
145,40050,109.0596
147,40500,110.7377
150,41400,108.0545
152,41850,123.4487
153,42300,112.7033
155,42750,111.5087
157,43200,110.9408
158,43650,105.5236
160,44100,99.7443
163,45000,111.1892
165,45450,119.969
168,46350,112.5009
170,46800,129.5977
171,47250,115.2967
173,47700,109.7668
175,48150,119.6906
176,48600,122.9932
178,49050,124.065
181,49950,111.5438
183,50400,119.2167
186,51300,116.4235
188,51750,109.2834
189,52200,109.7335
191,52650,108.2136
193,53100,103.0466
194,53550,99.9018
196,54000,121.9897
199,54900,102.7919
201,55350,114.0716
204,56250,116.1628
206,56700,127.69
207,57150,115.0573
209,57600,119.4051
211,58050,110.2803
212,58500,114.5263
214,58950,110.2632
217,59850,104.488
219,60300,111.9906
222,61200,111.4456
224,61650,107.4537
225,62100,101.6438
227,62550,110.6597
229,63000,99.9968
230,63450,105.19
232,63900,101.764
235,64800,115.8243
237,65250,109.2211
240,66150,131.4504
242,66600,126.6957
243,67050,123.3401
245,67500,118.6698
247,67950,108.6156
248,68400,107.3433
250,68850,115.678
253,69750,108.2746
255,70200,110.2919
258,71100,124.9776
260,71550,108.6715
261,72000,119.3726
263,72450,124.4075
265,72900,114.9725
266,73350,134.7895
268,73800,116.1791
271,74700,120.74
273,75150,126.5982
276,76050,118.4745
278,76500,116.4358
279,76950,120.3612
281,77400,119.2807
283,77850,120.947
284,78300,119.9547
286,78750,113.0831
289,79650,121.8734
291,80100,127.4918
294,81000,126.1599
296,81450,120.6837
297,81900,130.1561
299,82350,120.1652
301,82800,133.952
302,83250,128.7523
304,83700,127.5482
307,84600,126.8932
309,85050,127.9696
312,85950,117.0783
314,86400,130.8437
315,86850,116.6819
317,87300,117.4855
319,87750,130.0605
320,88200,118.6095
322,88650,128.5623
325,89550,118.7807
327,90000,132.4816
330,90900,125.4355
332,91350,130.1365
333,91800,118.8724
335,92250,116.3439
337,92700,136.2926
338,93150,110.5735
340,93600,134.3966
343,94500,122.577
345,94950,120.8059
348,95850,122.0786
350,96300,114.0153
351,96750,128.4657
353,97200,122.1404
355,97650,123.0161
356,98100,101.1831
358,98550,120.0423
361,99450,119.0455
363,99900,105.5085
