episode,timestep,reward
1,450,-2.6762
3,900,-2.6119
6,1800,-2.861
8,2250,-2.7565
9,2700,-2.7016
11,3150,-2.9739
13,3600,-2.6659
14,4050,-2.2649
16,4500,-2.7321
19,5400,-2.6783
21,5850,-2.9151
24,6750,-2.7916
26,7200,-2.7525
27,7650,-2.3922
29,8100,-2.6519
31,8550,-2.8907
32,9000,-2.9694
34,9450,-2.8273
37,10350,-2.7196
39,10800,-2.8494
42,11700,-3.002
44,12150,-2.679
45,12600,-3.0518
47,13050,-2.771
49,13500,-2.5576
50,13950,-3.0221
52,14400,-2.6601
55,15300,-2.832
57,15750,-2.6583
60,16650,-2.694
62,17100,-2.7396
63,17550,-2.7592
65,18000,-2.8036
67,18450,-2.84
68,18900,-2.8878
70,19350,-2.8916
73,20250,-2.8642
75,20700,-2.8698
78,21600,-2.7544
80,22050,-2.9677
81,22500,-2.8127
83,22950,-2.6804
85,23400,-2.646
86,23850,-3.0068
88,24300,-2.5434
91,25200,-2.9576
93,25650,-2.8898
96,26550,-2.692
98,27000,-2.634
99,27450,-2.8445
101,27900,-2.8306
103,28350,-2.5479
104,28800,-2.7455
106,29250,-2.8333
109,30150,-2.6548
111,30600,-2.6839
114,31500,-2.6123
116,31950,-2.9086
117,32400,-3.0531
119,32850,-2.878
121,33300,-2.8377
122,33750,-3.0142
124,34200,-2.695
127,35100,-2.7345
129,35550,-2.9939
132,36450,-2.7275
134,36900,-2.8144
135,37350,-2.9583
137,37800,-2.9119
139,38250,-2.7771
140,38700,-2.856
142,39150,-2.8341
145,40050,-2.7245
147,40500,-2.6891
150,41400,-2.6121
152,41850,-2.8551
153,42300,-2.6745
155,42750,-2.879
157,43200,-2.751
158,43650,-2.9121
160,44100,-2.7964
163,45000,-2.7249
165,45450,-2.9085
168,46350,-2.7104
170,46800,-2.8735
171,47250,-2.8997
173,47700,-2.6095
175,48150,-2.6819
176,48600,-2.9459
178,49050,-2.5987
181,49950,-2.6913
183,50400,-2.8846
186,51300,-2.6638
188,51750,-2.9168
189,52200,-2.5465
191,52650,-2.7054
193,53100,-2.7306
194,53550,-2.5598
196,54000,-2.7919
199,54900,-2.8396
201,55350,-2.8008
204,56250,-2.8483
206,56700,-2.632
207,57150,-3.1497
209,57600,-2.8278
211,58050,-2.8172
212,58500,-2.6146
214,58950,-2.8326
217,59850,-2.9158
219,60300,-2.9804
222,61200,-2.9131
224,61650,-2.6458
225,62100,-2.8558
227,62550,-2.8574
229,63000,-2.5891
230,63450,-2.5544
232,63900,-2.6454
235,64800,-2.6184
237,65250,-2.8303
240,66150,-2.7061
242,66600,-2.5513
243,67050,-2.7006
245,67500,-2.5977
247,67950,-2.8233
248,68400,-2.6307
250,68850,-2.9913
253,69750,-2.7088
255,70200,-2.7336
258,71100,-2.7984
260,71550,-2.886
261,72000,-2.8637
263,72450,-2.7297
265,72900,-2.601
266,73350,-2.4726
268,73800,-2.7688
271,74700,-2.5937
273,75150,-2.6557
276,76050,-2.7608
278,76500,-2.6843
279,76950,-2.9523
281,77400,-2.7277
283,77850,-2.9123
284,78300,-2.5126
286,78750,-2.6097
289,79650,-2.8357
291,80100,-2.8422
294,81000,-2.822
296,81450,-2.7317
297,81900,-2.936
299,82350,-2.7804
301,82800,-2.6659
302,83250,-2.3836
304,83700,-2.4654
307,84600,-2.5897
309,85050,-2.7599
312,85950,-2.9176
314,86400,-2.5717
315,86850,-2.6534
317,87300,-2.4552
319,87750,-2.768
320,88200,-2.8417
322,88650,-2.785
325,89550,-2.7479
327,90000,-2.6903
330,90900,-2.5639
332,91350,-2.7591
333,91800,-2.7204
335,92250,-2.7492
337,92700,-2.6462
338,93150,-2.679
340,93600,-2.7619
343,94500,-2.7816
345,94950,-2.9459
348,95850,-2.6114
350,96300,-2.6805
351,96750,-2.8914
353,97200,-2.7898
355,97650,-2.8179
356,98100,-2.8629
358,98550,-2.8347
361,99450,-2.8386
363,99900,-2.6257
